m0 http://interia.pl/e/onm/epo/ ul.exe
m0 ul.exe n.exe
m0 http://sogou.com/a/ cxes.exe
m918471 www.virus.com/downloads virusinstaller.exe
m0 cxes.exe cpkr.exe
m918471 virusinstaller.exe spyware.exe
m0 cxes.exe eozq.exe
m918471 spyware.exe www.attackercontrolnetwork.com
m0 eozq.exe duva.exe
m0 http://slate.com/vqdp/ wqrs.exe
m0 wqrs.exe ycxd.exe
m0 ycxd.exe http://coccoc.com/ujil/xznx/
m0 wqrs.exe fws.exe
m2 http://aweber.com/hlh/bbys/pwo/mk/tfs/ yv.exe
m2 yv.exe hv.exe
m2 hv.exe http://sahibinden.com/jf/eab/lgp/ba/
m2 hv.exe ypsv.exe
m1002973 unknown.exe www.attackercontrolnetwork.com
m2 hv.exe http://patch.com/yuyr/lru/vl/
m0 http://groupon.com/zoxs/mpca/go/l/ra/ axn.exe
m0 http://wordpress.com/ei/ggh/s/oyo/ qvi.exe
m0 qvi.exe xywa.exe
m0 qvi.exe nxd.exe
m0 xywa.exe http://att.com/azo/z/
m0 xywa.exe rc.exe
m0 nxd.exe http://yahoo.co.jp/v/hq/tn/n/ujf/tz/
m0 rc.exe je.exe
