m918471 www.virus.com/downloads virusinstaller.exe		9
m918471 virusinstaller.exe spyware.exe				7
m918471 spyware.exe www.attackercontrolnetwork.com		5
m1002973 unknown.exe www.attackercontrolnetwork.com		2
m918471 www.virus.com/downloads http://google.com
m918471 http://google.com spyware.exe				3
m918471 http://google.com www.attackercontrolnetwork.com
m1002973 unknown.exe http://google.com				1
m918471 www.virus.com/downloads http://google.com		8
m918471 virusinstaller.exe http://google.com			6
m918471 spyware.exe http://google.com				4
